74167,74162,slurm_script-74167,sleeping,0,0,1662976,116146176,2024-08-02T04:17:14Z,slurm_script,/bin/bash /var/spool/slurmd/job17539152/slurm_script,2024-08-02T04:39:19Z,slurm_script
43017,43012,bash-43017,sleeping,0.06,0.06,4005888,130740224,2024-08-02T01:31:41Z,bash,-bash,2024-08-02T04:39:19Z,bash
43012,42997,sshd-43012,sleeping,0,0,3481600,184471552,2024-08-02T01:31:41Z,sshd,sshd: milton.m@pts/0,2024-08-02T04:39:19Z,sshd
73543,73168,R-73543,running,0.5,0.06,72077312,210776064,2024-08-02T04:39:17Z,R,"/stornext/System/data/apps/R/R-4.4.0/lib64/R/bin/exec/R -e crew::crew_worker(settings~+~=~+~list(url~+~=~+~""ws://127.0.0.1:40326/e7783198adab96da45418e56"",~+~cleanup~+~=~+~1L,~+~output~+~=~+~TRUE,~+~maxtasks~+~=~+~Inf,~+~idletime~+~=~+~Inf,~+~walltime~+~=~+~Inf,~+~timerstart~+~=~+~0L,~+~tls~+~=~+~NULL,~+~rs~+~=~+~c(10407L,~+~-1050340298L,~+~338554175L,~+~1796353652L,~+~-664856859L,~+~791934562L,~+~1719748219L)),~+~launcher~+~=~+~""4367efb44c138166928a1b13"",~+~worker~+~=~+~1L,~+~instance~+~=~+~""e7783198adab96da45418e56"")",2024-08-02T04:39:19Z,R
73373,1,dispatcher-73373,sleeping,0.12,0.08,54300672,825749504,2024-08-02T04:39:16Z,R,"/stornext/System/data/apps/R/R-4.4.0/lib64/R/bin/exec/R --no-echo --no-restore -e .libPaths(c(""/home/users/allstaff/milton.m/R/x86_64-pc-linux-gnu-library/4.4"",.libPaths()));mirai::dispatcher(""abstract://0070756ce83d0afffadb344c"",c(""ws://127.0.0.1:0""),n=1,monitor=""abstract://0070756ce83d0afffadb344cc"",token=TRUE,retry=TRUE)",2024-08-02T04:39:19Z,dispatcher
73168,32324,callr-73168,sleeping,0.9,0.19,137330688,913645568,2024-08-02T04:39:15Z,R,/stornext/System/data/apps/R/R-4.4.0/lib64/R/bin/exec/R --slave --no-save --no-restore -f /vast/scratch/users/milton.m/tmp/Rtmpoab9FX/callr-scr-7e44562652d1,2024-08-02T04:39:19Z,callr
41071,32324,bash-41071,sleeping,0,0.01,1323008,14012416,2024-08-02T04:36:13Z,bash,bash --login --posix,2024-08-02T04:39:19Z,bash
36494,34187,monitor-36494,running,48.85,31.93,138485760,560041984,2024-08-02T04:35:47Z,R,/stornext/System/data/apps/R/R-4.4.0/lib64/R/bin/exec/R,2024-08-02T04:39:19Z,monitor
34187,32324,bash-34187,sleeping,0,0.01,905216,14012416,2024-08-02T04:25:18Z,bash,bash --login --posix,2024-08-02T04:39:19Z,bash
32324,74280,rsession-32324,sleeping,38.09,38.32,235831296,2338107392,2024-08-02T04:24:56Z,rsession,rsession -u milton.m --session-use-secure-cookies 1 --session-root-path / --session-same-site 0 --session-use-file-storage 1 --launcher-token 5AFCCADF,2024-08-02T04:39:19Z,rsession
